code,GDP,GDP_per_capita,tier
ABW,0.0,0.0,tier3
AFE,1236163044999.97,1672.5059574692,tier3
AFG,0.0,0.0,tier3
AFW,796586157553.094,1584.33328485465,tier3
AGO,84722957642.3757,2309.52162029791,tier3
ALB,22977677860.7979,8367.77573143421,tier2
AND,3727673593.01922,46544.7207199483,tier1
ARB,3491516939569.88,7377.39893629449,tier2
ARE,504173451327.434,52976.8083782405,tier1
ARG,640591410663.883,13730.5147090247,tier2
ARM,24212134631.064,8715.76533622178,tier2
ASM,0.0,0.0,tier3
ATG,2033085185.18518,21560.2153299665,tier1
AUS,1723827215334.71,64711.7656030565,tier1
AUT,516034144115.95,56505.9682796867,tier1
AZE,72356176470.5882,7155.08360355897,tier2
BDI,2642161668.92754,199.580760181492,tier3
BEL,632216577075.109,53475.2934952935,tier1
BEN,19673284686.0023,1434.66283439144,tier3
BFA,20324617838.9676,874.121280381345,tier3
BGD,437415331040.994,2529.08012688018,tier3
BGR,101584384672.786,15797.5955773596,tier2
BHR,43205000000.0,29084.3071297448,tier1
BHS,14338500000.0,34749.6382896736,tier1
BIH,27054889362.8852,8426.09111019155,tier2
BLR,71857382745.6066,7829.05313660622,tier2
BLZ,3281500000.0,7987.58595509037,tier2
BMU,0.0,0.0,tier3
BOL,45849832906.4139,3700.97833772869,tier3
BRA,2173665655937.27,10043.6239221567,tier2
BRB,6393564189.61345,22672.6154350731,tier1
BRN,15128292953.5098,33430.9184783787,tier1
BTN,0.0,0.0,tier3
BWA,19395765126.3127,7249.79932596262,tier2
CAF,2555492085.24831,445.028195988605,tier3
CAN,2140085567791.45,53371.6974319701,tier1
CEB,2252970882003.43,22494.4806637564,tier1
CHE,884940402230.409,99994.9380204786,tier1
CHI,0.0,0.0,tier3
CHL,335533331669.219,17093.2419713921,tier2
CHN,17794781986104.5,12614.0609948923,tier2
CIV,78788828906.8634,2728.80324620071,tier3
CMR,47945510090.0529,1673.64888857222,tier3
COD,66383287002.9969,649.143987939358,tier3
COG,15321055818.3263,2508.82339515164,tier3
COL,363540156234.868,6979.72513470377,tier2
COM,1352380972.15662,1587.16189555687,tier3
CPV,2587252076.3056,4321.57986427786,tier3
CRI,86497941439.0174,16595.3703837185,tier2
CSS,53252637669.8953,16810.93501732,tier2
CUB,0.0,0.0,tier3
CUW,0.0,0.0,tier3
CYM,0.0,0.0,tier3
CYP,32229622669.1951,34701.44140625,tier1
CZE,330858339871.686,30427.4234688601,tier1
DEU,4456081016705.96,52745.7557064131,tier1
DJI,4098530513.55777,3606.4168960124,tier3
DMA,653992592.592593,8953.89639365543,tier2
DNK,404198757537.974,67967.3818685562,tier1
DOM,121444279313.931,10716.0133558903,tier2
DZA,239899491127.742,5260.20624980797,tier2
EAP,21150247849983.1,9912.69685076252,tier2
EAR,14847823837515.2,4258.91763675723,tier3
EAS,30775659199419.9,12927.6838082962,tier2
ECA,2098349713814.25,8479.05683108165,tier2
ECS,27240628835585.3,29483.4414501406,tier1
ECU,118844826000.0,6533.35150400616,tier2
EGY,395926075163.006,3512.58006529798,tier3
EMU,15544858680873.8,44368.5755448892,tier1
ERI,0.0,0.0,tier3
ESP,1580694712515.71,32676.9837109377,tier1
EST,40744848827.9537,29823.7496069016,tier1
